token1	token2	weight
мен	?	0
мен	мен	87
мен	жақ	48
мен	жақсы	130
мен	де	73
мен	деп	32
мен	!	82
мен	қала	118
мен	қалай	120
мен	сен	78
мен	жоқ	52
мен	бар	77
мен	керек	81
мен	ғой	95
мен	жан	65
мен	жаным	109
мен	шүкір	109
мен	бір	126
мен	ен	55
мен	енді	118
мен	ол	49
мен	өзі	59
мен	өзің	110
мен	да	116
мен	неге	95
мен	маған	76
мен	ал	114
мен	алып	117
мен	болып	76
мен	сәл	114
мен	аа	114
мен	болды	134
мен	екен	117
мен	осы	129
мен	менде	64
мен	ер	129
мен	ерте	127
мен	ертең	92
мен	мені	60
мен	менің	119
мен	деген	116
мен	емес	81
мен	істеп	49
мен	кім	106
мен	сені	104
мен	как	17
мен	мама	109
мен	қайырлы	85
мен	адам	119
мен	или	91
мен	ой	105
мен	саған	133
мен	бүгін	25
мен	болса	56
мен	дұрыс	127
мен	алла	97
мен	ай	109
мен	айтып	123
мен	жұмыс	82
мен	көп	79
мен	барып	78
мен	жарайды	78
мен	ертен	133
мен	аман	68
мен	кеш	119
мен	кеше	98
мен	ақ	64
мен	ақша	87
мен	боп	89
мен	қашан	133
мен	кешке	92
мен	қанша	80
мен	бала	95
мен	бәрі	85
мен	күшті	112
мен	күн	116
мен	туған	120
мен	екі	106
мен	қаз	80
мен	қазір	93
мен	ана	63
мен	қыз	80
мен	үш	91
мен	үшін	113
мен	кет	44
мен	кел	135
мен	келіп	128
мен	келе	95
мен	қандай	80
мен	бас	98
мен	басқа	115
мен	үй	73
мен	үйде	92
мен	солай	67
мен	бара	78
мен	жатырм	62
мен	жатырмын	118
мен	шығып	103
мен	жаз	77
мен	жазып	131
мен	қайда	88
мен	бірақ	102
мен	сенің	93
мен	давай	54
мен	қатты	122
мен	қой	83
мен	аллаға	126
мен	кетіп	134
мен	ала	76
мен	салып	100
мен	үйге	108
мен	ішіп	71
мен	жаман	105
мен	за	77
мен	барам	117
мен	тамақ	67
мен	ап	78
мен	апа	120
мен	бұл	111
мен	сенде	86
мен	таң	116
мен	едім	120
мен	кеп	126
мен	сіз	110
мен	если	92
мен	папа	118
мен	кейін	93
мен	қыздар	115
мен	көре	105
мен	көрем	127
мен	мынау	123
мен	жүр	134
мен	алма	126
мен	анау	130
мен	сұрап	97
мен	он	101
мен	жаңа	106
мен	бақытты	80
мен	еш	110
мен	ештеңе	103
мен	бұйырса	83
мен	ауырып	102
мен	отырмын	82
мен	сияқты	97
мен	тез	62
мен	айта	102
мен	болған	98
мен	беріп	126
мен	жас	113
мен	жасап	118
мен	көріп	107
мен	ғана	106
мен	қызы	73
мен	қызым	125
мен	мал	116
мен	неше	102
мен	жауап	112
мен	су	95
мен	видео	107
мен	ұйықтап	108
мен	негізі	81
мен	айтам	70
мен	телефон	83
мен	қара	95
мен	қарап	111
мен	машина	103
мен	жатқан	106
мен	бірге	128
мен	сондай	88
мен	жер	89
мен	аға	124
мен	әдемі	128
мен	сағат	113
мен	еще	98
мен	тауып	109
мен	до	109
мен	жай	109
мен	ешкім	88
мен	соған	112
мен	білмей	99
мен	білмеймін	121
мен	осылай	89
мен	келген	97
мен	такси	109
мен	тыныш	114
мен	ата	121
мен	кеткен	105
мен	дос	112
мен	жүре	94
мен	жүрегім	112
мен	досым	131
мен	ойнап	131
мен	жүрген	91
мен	жол	112
мен	заказ	116
мен	үлкен	97
мен	бәрін	111
мен	дым	86
мен	бос	91
мен	болам	90
мен	әңгіме	103
мен	жеп	122
мен	оған	113
мен	өмір	62
мен	күтіп	117
мен	вообще	96
мен	алп	74
мен	болмай	112
мен	осында	130
мен	осындай	120
мен	мың	105
мен	алам	135
мен	алматы	90
мен	шай	104
мен	жұмысқа	92
мен	аз	79
мен	азанда	126
мен	бірінші	96
мен	біздің	80
мен	олай	133
мен	кір	79
мен	кіріп	114
мен	жана	99
мен	сөйлесіп	88
мен	ауыл	76
мен	ауылға	128
мен	алдын	83
мен	алдында	109
мен	олар	95
мен	қайта	118
мен	жақта	101
мен	без	106
мен	тастап	125
мен	түнде	110
мен	жатып	97
мен	али	106
мен	нешеде	92
мен	келдім	133
мен	аш	69
мен	ашып	132
мен	содан	120
мен	кино	110
мен	менен	107
мен	балдар	134
мен	күнде	130
мен	барамыз	96
мен	алдым	132
мен	нан	99
мен	ещё	109
мен	кеттім	116
мен	сендер	75
мен	каспи	105
мен	түс	119
мен	түсіп	128
мен	шымкент	127
мен	ойлап	107
мен	өте	101
мен	ұмытып	111
мен	жұмыста	92
мен	звандап	73
мен	өтірік	108
мен	кете	103
мен	кетем	96
мен	оның	89
мен	сізді	81
мен	тұрған	46
мен	бота	132
мен	айтты	132
мен	шаршап	86
мен	ең	97
мен	сөз	112
мен	демалыс	117
мен	ауылда	132
мен	осыны	80
мен	ватсап	103
мен	алған	121
мен	дайын	106
мен	айттым	106
мен	берген	68
мен	жаққа	101
мен	апарып	96
мен	біреу	117
мен	жігіт	124
мен	сабақ	117
мен	оқып	103
мен	қалаға	115
мен	жаза	86
мен	брак	107
мен	шығарып	117
мен	және	123
мен	баста	106
мен	бастап	133
мен	кішкентай	121
мен	қазақ	103
мен	ар	104
мен	келем	127
мен	жүріп	104
мен	жылап	111
мен	баратын	100
мен	жібере	100
мен	қол	124
мен	әр	126
мен	даже	117
мен	демалып	92
мен	келесі	120
мен	балам	104
мен	қызық	118
мен	алтын	129
мен	астана	118
мен	өтіп	127
мен	алайын	133
мен	қазақша	111
мен	қойып	127
мен	ақшасын	132
мен	тойға	124
мен	жіберіп	108
мен	сағындым	123
мен	біліп	128
мен	базар	118
мен	кішкене	123
мен	барлық	103
мен	жоқпын	113
мен	киім	97
мен	сатып	116
мен	билет	112
мен	жазам	128
мен	таңертең	103
мен	келгенде	106
мен	айтқан	99
мен	ет	92
мен	қоя	121
мен	іздеп	130
мен	кредит	118
мен	лайк	114
мен	бағана	123
мен	ренжіп	98
мен	бірдеңе	112
мен	егер	110
мен	каспий	129
мен	ертерек	128
мен	түсіріп	120
мен	далада	133
мен	жігіттер	89
мен	қалып	128
мен	айфон	113
мен	сіздің	121
мен	ұл	84
мен	ұстап	116
мен	жуып	123
мен	сурет	125
мен	арай	125
мен	жалпы	123
мен	зат	113
мен	онлайн	133
мен	кімге	114
мен	жұмыстан	111
мен	қойдым	87
мен	жанар	131
мен	болдым	131
мен	быр	101
мен	азамат	109
мен	қайтып	133
мен	басым	103
мен	жүрмін	119
мен	арман	114
мен	жіберем	132
мен	өткен	119
мен	өткенде	129
мен	жалғыз	104
мен	май	88
мен	алмаймын	125
мен	кешегі	127
мен	всегда	118
мен	келп	99
мен	магазин	134
мен	жауып	129
мен	ару	129
мен	келін	132
мен	алатын	116
мен	казір	125
мен	жайлы	99
мен	бұрын	93
мен	ешкімге	103
мен	ары	83
мен	өшіріп	118
мен	ішім	111
мен	қосып	123
мен	артық	121
мен	таза	106
мен	кіммен	123
мен	группа	106
мен	берді	133
мен	былай	120
мен	жынды	111
мен	мынаны	105
мен	екінші	106
мен	ойын	108
мен	білем	126
мен	аружан	93
мен	кайдан	117
мен	біраз	79
мен	далаға	113
мен	мадина	98
мен	жақын	124
мен	кара	128
мен	басып	125
мен	аяқ	132
мен	автобус	121
мен	ағам	124
мен	сағынып	117
мен	шақырып	131
мен	соңғы	131
мен	жібердім	120
мен	инста	111
мен	жетіп	122
мен	түсінбедім	127
мен	кә	115
мен	кәз	107
мен	дәрі	99
мен	көрші	130
мен	әке	130
мен	жәй	123
мен	барған	109
мен	журген	98
мен	бека	131
мен	тұра	126
мен	қалада	131
мен	дана	92
мен	баласы	131
мен	емеспін	128
мен	бәрібір	124
мен	таппай	112
мен	ерке	123
мен	намаз	128
мен	дәл	96
мен	айдана	117
мен	айтайын	127
мен	соның	114
мен	отырған	122
мен	адамды	134
мен	ақшаны	135
мен	барамын	121
мен	сонша	95
мен	шықтым	123
мен	мамам	76
мен	қолым	114
мен	торт	116
мен	өзіме	122
мен	барсам	90
мен	көрдім	86
мен	барайын	115
мен	кәзір	98
мен	жарты	98
мен	отыра	118
мен	бес	128
мен	шаш	123
мен	сенімен	117
мен	мектепке	76
мен	жақтан	107
мен	толық	117
мен	шәй	129
мен	көк	112
мен	беремін	126
мен	барғанда	126
мен	кешірім	93
мен	көйлек	120
мен	кімнің	119
мен	айым	134
мен	тегін	132
мен	қасында	130
мен	махаббат	128
мен	алматыға	133
мен	диана	99
мен	алланың	129
мен	апам	127
мен	хан	122
мен	бай	128
мен	киіп	131
мен	динара	131
мен	сендерге	129
мен	асем	89
мен	админ	130
мен	оз	108
мен	бөлек	104
мен	айжан	120
мен	вроде	132
мен	жата	130
мен	тараз	118
мен	жансая	134
мен	ойланып	127
мен	диас	116
мен	мамаға	127
мен	назерке	105
мен	бәріне	132
мен	дорама	107
мен	өліп	118
мен	именно	109
мен	тұрмын	130
мен	жолға	133
мен	айша	107
мен	алсам	122
мен	салдым	118
мен	квартира	115
мен	суға	130
мен	магазинге	118
мен	есік	100
мен	түскен	121
мен	басында	120
мен	көрген	105
мен	көшеге	112
мен	айтсам	107
мен	аяу	95
мен	жолда	134
мен	мөлдір	104
мен	луна	129
мен	қызыл	132
мен	аламын	129
мен	болсам	112
мен	осыған	83
мен	шығатын	126
мен	қарсы	128
мен	жек	114
мен	жеке	127
мен	қыдырып	124
мен	группаға	126
мен	болғанда	132
мен	баланы	116
мен	орыс	131
мен	ит	117
мен	жазған	131
мен	звандайм	104
мен	жасай	129
мен	жазбай	119
мен	ыдыс	126
мен	үйді	102
мен	үйдің	129
мен	айгерім	119
мен	көшеде	128
мен	барғо	112
мен	мирас	128
мен	төлеп	132
мен	пара	117
мен	қазақстан	131
мен	осыдан	133
мен	мерей	126
мен	қасымда	131
мен	қуып	132
мен	бірден	126
мен	бірдене	124
мен	күліп	126
мен	үйден	133
мен	айтпай	102
мен	документ	125
мен	кешкі	128
мен	қызға	129
мен	сөйлесе	134
мен	жақсымын	113
мен	еркек	118
мен	бармай	122
мен	сүт	115
мен	сұрақ	131
мен	аурп	128
мен	мас	123
мен	бердім	130
мен	маржан	120
мен	жіберген	130
мен	шамалы	97
мен	мектепте	126
мен	кететін	114
мен	кейде	129
мен	қорқып	119
мен	айтатын	111
мен	айнұр	133
мен	алдап	133
мен	нақты	126
мен	короче	125
мен	қонақ	131
мен	алматыда	134
мен	ертеңге	103
мен	сізден	133
мен	қап	93
мен	диплом	129
мен	арғы	134
мен	әйел	126
мен	арқылы	131
мен	жаздым	128
мен	қашып	103
мен	тапсырып	128
мен	алмадым	131
мен	кола	123
мен	сіздер	126
мен	киін	132
мен	суретке	133
мен	телеграм	126
мен	кіре	135
мен	естіп	108
мен	анда	133
мен	ерасыл	122
мен	сотка	129
мен	нағашы	127
мен	әже	129
мен	ешқандай	126
мен	қалам	117
мен	үйреніп	126
мен	кімді	131
мен	футбол	116
мен	астанаға	129
мен	атым	110
мен	балаға	118
мен	оқуға	133
мен	сабаққа	126
мен	тырысып	108
мен	артынан	125
мен	салған	134
мен	қуанып	132
мен	ұйқым	125
мен	амина	122
мен	сымбат	135
мен	айтамын	134
мен	күте	126
мен	каусар	134
мен	өзімді	127
мен	күтем	89
мен	сіздерге	133
мен	інжу	105
мен	нұрай	132
мен	дайындалып	128
мен	айзере	127
мен	енем	130
мен	папам	129
мен	клиент	122
мен	тұрдым	117
мен	шешіп	118
мен	сөйлеп	131
мен	бармаймын	134
мен	қызбен	84
мен	өзімде	129
мен	баламен	113
мен	қыздарға	122
мен	барын	128
мен	таксимен	125
мен	танысып	118
мен	қате	130
мен	сұрайын	127
мен	доп	133
мен	жігітім	132
мен	жұлдыз	133
мен	жатам	134
мен	қарыз	100
мен	базарға	130
мен	ғашық	111
мен	тикток	128
мен	үйдемін	127
мен	бүкіл	89
мен	ауылдан	133
мен	түркістан	115
мен	адал	127
мен	қаладан	133
мен	гаухар	124
мен	айару	135
мен	күндіз	131
мен	бұрынғы	129
мен	біреуге	128
мен	кітап	120
мен	уайымдап	130
мен	төрт	118
мен	август	134
мен	кіші	130
мен	түк	130
мен	балдармен	127
мен	биыл	115
мен	аяулым	124
мен	қиналып	132
мен	крем	120
мен	атам	127
мен	көзім	127
мен	сендерді	134
мен	таксиге	90
мен	шаршадым	127
мен	казак	101
мен	аяжан	132
мен	тойда	135
мен	анализ	116
мен	ешқашан	131
мен	білмедім	106
мен	түнгі	116
мен	машинамен	132
мен	алихан	127
мен	ештеме	135
мен	кетсем	122
мен	бассейнге	107
мен	воскресенье	122
мен	мән	133
мен	қыздармен	129
мен	мысалы	116
мен	қайтадан	106
мен	айтпайм	133
мен	барн	121
мен	ананы	127
мен	калада	120
мен	звандасам	112
мен	футболка	111
мен	ұйықтай	124
мен	больницаға	114
мен	өзімнің	117
мен	пицца	100
мен	пиво	134
мен	қоса	130
мен	барғым	123
мен	астанада	116
мен	таңғы	110
мен	босамай	129
мен	темекі	130
мен	жаяу	132
мен	шығамын	123
мен	маманы	107
мен	маманың	126
мен	ұрыс	120
мен	ұрысып	130
мен	телефонды	120
мен	бірдеме	123
мен	орысша	135
мен	түнімен	112
мен	ұқсап	129
мен	наны	134
мен	жүрем	122
мен	араласып	120
мен	бұлай	126
мен	сеніп	116
мен	түсініп	126
мен	жасаған	134
мен	ерекше	131
мен	сенін	134
мен	сиыр	105
мен	ойнай	124
мен	барлығын	113
мен	оларды	121
мен	біреуді	99
мен	біреудің	127
мен	балдарды	125
мен	ағылшын	132
мен	шалбар	124
мен	түсіндім	131
мен	басқаша	129
мен	оларға	116
мен	әдейі	105
мен	талай	111
мен	қызылорда	128
мен	калам	129
мен	кетейін	131
мен	бұндай	133
мен	фотоға	121
мен	кірем	126
мен	жазда	110
мен	түсінбей	132
мен	айтым	114
мен	құрт	99
мен	кафеге	134
мен	жазсам	133
мен	сырт	102
мен	сыртта	125
мен	істеген	111
мен	бардым	127
мен	апарам	117
мен	күйеу	132
мен	ваше	132
мен	үндемей	115
мен	барда	130
мен	көшіп	103
мен	айдап	130
мен	волейбол	135
мен	боламын	132
мен	болайын	132
мен	келгенше	128
мен	киініп	107
мен	аша	119
мен	бармайтын	132
мен	жұмыстамын	104
мен	ешкіммен	90
мен	көтере	104
мен	сұраған	132
мен	жаңағы	123
мен	жолдан	131
мен	шошып	131
мен	сіңілім	133
мен	мүлде	133
мен	мүлдем	135
мен	сендердің	120
мен	ұйықтаймын	116
мен	сорлы	70
мен	давно	108
мен	тіркелдім	129
мен	былтыр	113
мен	тіпті	120
мен	тұрғанда	128
мен	сыртқа	119
мен	ешкімді	123
мен	барганда	96
мен	кеткенде	113
мен	папаға	106
мен	қасқа	123
мен	жақында	125
мен	білмимін	121
мен	тірі	135
мен	мамадан	131
мен	анам	117
мен	төсек	132
мен	тойдан	131
мен	білмейді	135
мен	шыдай	123
мен	ұялып	112
мен	басымды	117
мен	олардың	126
мен	кірдім	119
мен	ешқайда	115
мен	вторник	119
мен	жаттым	133
мен	бұны	92
мен	алдыңғы	107
мен	кешігіп	134
мен	әкем	109
мен	тұрмысқа	131
мен	кешеден	122
мен	апаның	129
мен	қорқам	132
мен	ұйқыдан	109
мен	кірген	128
мен	біреумен	129
мен	алматыдан	128
мен	шымкентте	124
мен	асп	118
мен	жуынып	128
мен	жігітпен	116
мен	секілді	127
мен	сұрадым	111
мен	алғам	116
мен	кінәлі	134
мен	ашуланып	88
мен	жездем	133
мен	білетін	133
мен	ақымақ	112
мен	шашымды	111
мен	қонақта	106
мен	келсем	127
мен	магазинде	116
мен	душқа	127
мен	ақтөбе	111
мен	баяғыда	133
мен	үнемі	123
мен	қонаққа	124
мен	жеттім	132
мен	білемін	107
мен	араласпай	117
мен	сұрасам	134
мен	каска	125
мен	машинада	127
мен	мамамен	134
мен	ақшамды	122
мен	шомылып	129
мен	таразға	123
мен	жазайын	123
мен	группадан	133
мен	ақтауға	124
мен	көргем	130
мен	сұранып	133
мен	алматыга	126
мен	айтқам	122
мен	байға	111
мен	баруым	133
мен	жаңадан	123
мен	ұйықтайын	113
мен	сіздерді	112
мен	кетім	108
мен	барғасын	114
мен	душка	126
мен	іште	116
мен	ойлаймын	134
мен	калаға	130
мен	баняға	126
мен	коркып	126
мен	больницада	133
мен	базардан	110
мен	папаны	133
мен	папаның	133
мен	көрмей	132
мен	кетемін	135
мен	балама	132
мен	ойладым	134
мен	баламды	102
мен	болницаға	124
