token1	token2	token3	weight
мен	мен	мен	1
мен	жақсы	көрем	8
мен	жақсы	көретін	10
мен	де	де	18
мен	де	жоқ	26
мен	де	бар	25
мен	де	сені	16
мен	де	солай	17
мен	сен	жақсы	15
мен	сен	үшін	7
мен	сен	сияқты	10
мен	жоқ	кезде	9
мен	бар	кезде	7
мен	керек	емес	6
мен	бір	жерге	15
мен	бір	нәрсе	15
мен	енді	саған	14
мен	енді	келдім	13
мен	енді	шықтым	16
мен	енді	тұрдым	13
мен	ол	кезде	6
мен	ертең	барам	14
мен	ертең	сабаққа	14
мен	емес	сен	9
мен	емес	ол	15
мен	емес	кім	14
мен	емес	қой	15
мен	сені	мен	58
мен	сені	жақсы	3
мен	сені	қалай	62
мен	сені	алла	59
мен	сені	қатты	17
мен	сені	ғана	63
мен	сені	күтіп	48
мен	сені	ойлап	65
мен	сені	сағындым	43
мен	сені	сағынып	64
мен	сені	сүйемін	16
мен	сені	ешқашан	58
мен	сені	танымаймын	56
мен	сені	сағынам	51
мен	сені	өмірімнің	31
мен	қайырлы	түн	1
мен	саған	керек	30
мен	саған	бір	17
мен	саған	адам	35
мен	саған	айтып	20
мен	саған	ештеңе	33
мен	саған	айттым	17
мен	саған	ренжіп	36
мен	саған	бірдеңе	33
мен	саған	сеніп	29
мен	саған	сенемін	31
мен	бүгін	бара	13
мен	алла	қаласа	3
мен	жұмыс	істеп	8
мен	бәрі	бір	2
мен	үшін	бір	18
мен	үшін	емес	19
мен	үшін	өте	18
мен	үшін	ең	16
мен	үшін	ерекше	17
мен	келе	жатырмын	3
мен	үйде	емес	12
мен	үйде	емеспін	6
мен	бара	жатырмын	11
мен	бара	алмай	15
мен	бара	алмаймын	5
мен	бара	алмайтын	12
мен	шығып	жатырмын	10
мен	шығып	кеттім	8
мен	кетіп	бара	5
мен	үйге	келдім	9
мен	барам	деп	9
мен	барам	дегенше	8
мен	тамақ	істеп	11
мен	тамақ	ішіп	5
мен	ауырып	жатырмын	4
мен	ұйықтап	қалыппын	8
мен	негізі	кіммен	7
мен	до	конца	1
мен	білмеймін	ғой	3
мен	бос	емеспін	5
мен	күтіп	отырмын	3
мен	шай	ішіп	2
мен	жұмысқа	шығып	11
мен	жұмысқа	кетіп	10
мен	бірінші	рет	5
мен	сөйлесіп	жатсың	8
мен	ауылға	кетіп	8
мен	ұмытып	кетіппін	3
мен	жұмыста	отырмын	9
мен	сізді	жақсы	4
мен	сізді	қатты	10
мен	айтты	деп	5
мен	айтты	деме	7
мен	ауылда	емеспін	6
мен	айттым	ғой	7
мен	қалаға	кетіп	8
мен	жұмыстан	шығып	8
мен	кайдан	білем	5
мен	кайдан	білейін	6
мен	далаға	шығып	3
мен	барған	соң	6
мен	намаз	оқып	3
мен	шәй	ішіп	2
мен	алматыға	келгенше	5
мен	ыдыс	жуып	2
мен	сабаққа	дайынмын	2
мен	сендерді	жақсы	3
мен	бармайтын	болдым	2
мен	ұйықтаймын	қайырлы	4
мен	кінәлі	емеспін	7
мен	душқа	түсіп	3
мен	сіздерді	жақсы	2
мен	бармын	ғой	3
мен	жазбасам	жазбайсың	6
мен	айлан	аяла	1
мен	жатақхана	арасында	1
жақсы	жақсы	жақсы	5
жақсы	жақсы	рахмет	18
жақсы	жақсы	шүкір	14
жақсы	жақсы	өзің	12
жақсы	жақсы	өте	18
жақсы	жақсы	жарайсың	14
жақсы	қалай	өзің	2
жақсы	болсын	деп	10
жақсы	болсын	!	7
жақсы	рахмет	!	10
жақсы	рахмет	өзің	7
жақсы	рахмет	өзіңіз	10
жақсы	жаным	өзің	4
жақсы	шүкір	жақсы	60
жақсы	шүкір	!	70
жақсы	шүкір	рахмет	41
жақсы	шүкір	жаным	68
жақсы	шүкір	өзің	4
жақсы	шүкір	алла	60
жақсы	шүкір	аман	33
жақсы	шүкір	бәрі	67
жақсы	шүкір	рақмет	31
жақсы	шүкір	аллаға	12
жақсы	шүкір	өзіңіз	11
жақсы	шүкір	өздерің	28
жақсы	шүкір	өздеріңіз	42
жақсы	шүкір	аманбыз	61
жақсы	өзің	?	19
жақсы	өзің	жақсы	57
жақсы	өзің	қалай	32
жақсы	өзің	қалайсың	1
жақсы	өзің	қалайсыз	66
жақсы	болып	жатыр	17
жақсы	болып	тұр	16
жақсы	болып	қалды	11
жақсы	болып	кетеді	16
жақсы	болып	қалдың	15
жақсы	болып	кетсін	12
жақсы	болды	ғой	4
жақсы	екен	ғой	7
жақсы	қайырлы	түн	1
жақсы	болса	болды	5
жақсы	алла	деп	3
жақсы	ас	болсын	1
жақсы	болады	деп	11
жақсы	болады	!	10
жақсы	болады	жаным	12
жақсы	болады	алла	12
жақсы	барып	кел	12
жақсы	барып	қайтыңдар	13
жақсы	аман	есен	2
жақсы	аман	есенбіз	12
жақсы	бәрі	аман	8
жақсы	рақмет	!	12
жақсы	рақмет	жаным	14
жақсы	рақмет	өзің	6
жақсы	рақмет	өзіңіз	8
жақсы	аллаға	шүкір	1
жақсы	өзіңіз	?	19
жақсы	өзіңіз	қалайсыз	1
жақсы	көрем	мен	14
жақсы	көрем	деп	16
жақсы	көрем	!	15
жақсы	көрем	ғой	11
жақсы	көрем	жаным	11
жақсы	көрем	деген	38
жақсы	көрем	сені	10
жақсы	көрем	қатты	29
жақсы	көрем	сізді	23
жақсы	көрем	ботам	32
жақсы	көрем	балапан	35
жақсы	көрем	еркеназ	15
жақсы	көрем	диляра	18
жақсы	болған	екен	1
жақсы	жол	болсын	1
жақсы	жатып	тұр	12
жақсы	жатып	жайлы	2
жақсы	жатып	тұрыңыз	18
жақсы	бопты	ғой	2
жақсы	болар	еді	1
жақсы	түс	көр	3
жақсы	өздерің	қалайсыңдар	1
жақсы	өте	жақсы	1
